,Idade,Genero,Estados,Cargo,Carreira,Faixa salarial,Experiencia,Raça
106,28.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,10000.0,de 3 a 4 anos,Branca
107,25.0,Masculino,Minas Gerais (MG),Outra opção,Pleno,5000.0,Até 2 anos,Parda
108,26.0,Masculino,Santa Catarina (SC),Cientista de dados,Pleno,5000.0,Até 2 anos,Branca
109,29.0,Feminino,Paraná (PR),,,10000.0,de 3 a 4 anos,Branca
110,24.0,Feminino,São Paulo (SP),Analista de Dados,Pleno,7000.0,de 3 a 4 anos,Parda
111,32.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 4 a 6 anos,Preta
112,41.0,Feminino,Paraná (PR),Outra opção,Sênior,10000.0,de 3 a 4 anos,Parda
113,33.0,Masculino,Minas Gerais (MG),,,18000.0,Mais de 10 anos,Branca
114,37.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
115,31.0,Feminino,Rio Grande do Sul (RS),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca
116,26.0,Feminino,Espírito Santo (ES),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca
117,30.0,Feminino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
118,31.0,Masculino,Paraná (PR),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Parda
119,26.0,Masculino,Paraná (PR),Analista de Dados,Júnior,2500.0,Até 2 anos,Branca
120,26.0,Feminino,Piauí (PI),Cientista de dados,Júnior,1500.0,Até 2 anos,Parda
121,50.0,Masculino,Minas Gerais (MG),,,40000.0,Mais de 10 anos,Branca
122,37.0,Masculino,,Analista de Dados,Pleno,18000.0,de 3 a 4 anos,Branca
123,36.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 4 a 6 anos,Parda
124,32.0,Masculino,Espírito Santo (ES),Analista de Dados,Pleno,7000.0,Até 2 anos,Branca
125,50.0,Feminino,Minas Gerais (MG),,,,,Parda
126,28.0,Masculino,São Paulo (SP),,,18000.0,de 7 a 10 anos,Branca
127,27.0,Feminino,,,,,,Branca
128,29.0,Masculino,Espírito Santo (ES),,,10000.0,de 3 a 4 anos,Preta
129,38.0,Masculino,São Paulo (SP),Analista de BI,Sênior,27500.0,Mais de 10 anos,Parda
130,42.0,Feminino,São Paulo (SP),Outra opção,Sênior,14000.0,de 4 a 6 anos,Branca
131,30.0,Masculino,Rio de Janeiro (RJ),Outra opção,Pleno,5000.0,de 4 a 6 anos,Preta
132,25.0,Masculino,Rio Grande do Sul (RS),,,,,Branca
133,24.0,Masculino,Minas Gerais (MG),Analista de BI,Júnior,1500.0,Até 2 anos,Branca
134,27.0,Masculino,Paraná (PR),Engenheiro de dados,Pleno,14000.0,de 3 a 4 anos,Branca
135,28.0,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
136,35.0,Masculino,Rio de Janeiro (RJ),Outra opção,Pleno,1500.0,Até 2 anos,Parda
137,27.0,Feminino,Paraná (PR),,,7000.0,de 3 a 4 anos,Parda
138,29.0,Masculino,Paraíba (PB),Engenheiro de dados,Júnior,5000.0,de 3 a 4 anos,Branca
139,26.0,Masculino,Rio Grande do Sul (RS),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
140,,,,,,,,
141,41.0,Masculino,São Paulo (SP),,,35000.0,Mais de 10 anos,Branca
142,38.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Amarela
143,29.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,Até 2 anos,Parda
144,27.0,Feminino,São Paulo (SP),Analista de BI,Júnior,1500.0,Até 2 anos,Preta
145,25.0,Masculino,Espírito Santo (ES),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Parda
146,43.0,Masculino,Rio Grande do Sul (RS),Outra opção,Júnior,5000.0,Mais de 10 anos,Branca
147,26.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,5000.0,Até 2 anos,Branca
148,25.0,Masculino,Ceará (CE),Cientista de dados,Júnior,2500.0,Até 2 anos,Branca
149,45.0,Masculino,,,,35000.0,de 7 a 10 anos,Preta
150,31.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca
151,27.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,Até 2 anos,Amarela
152,28.0,Masculino,São Paulo (SP),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Branca
153,25.0,Masculino,Paraná (PR),,,,,Branca
154,28.0,Masculino,Ceará (CE),Engenheiro de dados,Sênior,22500.0,de 4 a 6 anos,Branca
155,31.0,Feminino,Rio de Janeiro (RJ),,,7000.0,Até 2 anos,Branca
156,22.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,2500.0,Até 2 anos,Branca
157,26.0,Masculino,Paraná (PR),,,,,Branca
158,30.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,7000.0,Até 2 anos,Preta
159,23.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,18000.0,Até 2 anos,Parda
160,38.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,7000.0,de 4 a 6 anos,Preta
161,35.0,Masculino,Bahia (BA),Analista de Dados,Sênior,14000.0,de 4 a 6 anos,Parda
162,27.0,Feminino,Minas Gerais (MG),Cientista de dados,Pleno,7000.0,de 3 a 4 anos,Preta
163,29.0,Masculino,Piauí (PI),,,,,Preta
164,43.0,Masculino,Mato Grosso do Sul (MS),Outra opção,Pleno,7000.0,de 3 a 4 anos,Parda
165,,,,,,,,
166,23.0,Masculino,Alagoas (AL),Engenheiro de dados,Júnior,3500.0,Até 2 anos,Preta
167,26.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,Até 2 anos,Branca
168,39.0,Masculino,Espírito Santo (ES),Engenheiro de dados,Sênior,10000.0,de 4 a 6 anos,Branca
169,33.0,Masculino,Santa Catarina (SC),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca
170,34.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 4 a 6 anos,Parda
171,31.0,Masculino,Rio de Janeiro (RJ),Outra opção,Sênior,10000.0,de 3 a 4 anos,Parda
172,26.0,Feminino,Paraná (PR),Analista de BI,Pleno,7000.0,Até 2 anos,Branca
173,33.0,Feminino,Pernambuco (PE),,,,,Branca
174,28.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
175,27.0,Masculino,Rio Grande do Sul (RS),Outra opção,Júnior,5000.0,Até 2 anos,Branca
176,29.0,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
177,39.0,Masculino,Paraná (PR),Outra opção,Sênior,14000.0,Até 2 anos,Parda
178,28.0,Feminino,São Paulo (SP),Analista de BI,Pleno,7000.0,Até 2 anos,Branca
179,29.0,Masculino,Santa Catarina (SC),Engenheiro de dados,Sênior,14000.0,Até 2 anos,Branca
180,36.0,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Branca
181,31.0,Masculino,Paraná (PR),Cientista de dados,Pleno,2500.0,Até 2 anos,Branca
182,24.0,Feminino,Paraíba (PB),Analista de BI,Júnior,1500.0,Até 2 anos,Parda
183,22.0,Masculino,Paraná (PR),Outra opção,Júnior,1500.0,Até 2 anos,Parda
184,32.0,Masculino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Branca
185,35.0,Feminino,Minas Gerais (MG),Analista de BI,Sênior,18000.0,de 3 a 4 anos,Outra
186,40.0,Feminino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,Mais de 10 anos,Preta
187,28.0,Masculino,Santa Catarina (SC),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Branca
188,33.0,Masculino,Rio Grande do Sul (RS),Cientista de dados,Sênior,14000.0,de 7 a 10 anos,Branca
189,,,,,,,,
190,27.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Júnior,7000.0,de 3 a 4 anos,Parda
191,38.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,Até 2 anos,Preta
192,40.0,Masculino,São Paulo (SP),,,35000.0,Mais de 10 anos,Branca
193,30.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,14000.0,Até 2 anos,Branca
194,41.0,Masculino,,Analista de Dados,Pleno,10000.0,de 7 a 10 anos,Branca
195,26.0,Feminino,Paraná (PR),Outra opção,Pleno,10000.0,Até 2 anos,Amarela
196,32.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,14000.0,Mais de 10 anos,Branca
197,29.0,Feminino,São Paulo (SP),Analista de BI,Pleno,7000.0,Até 2 anos,Parda
198,28.0,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca
199,36.0,Masculino,Santa Catarina (SC),,,18000.0,de 7 a 10 anos,Branca
200,54.0,Masculino,São Paulo (SP),Outra opção,Sênior,5000.0,Mais de 10 anos,Preta
201,32.0,Feminino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 3 a 4 anos,Branca
202,28.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,Até 2 anos,Parda
203,33.0,Feminino,Pernambuco (PE),,,,,Branca
204,25.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Parda
205,45.0,Masculino,Mato Grosso do Sul (MS),,,27500.0,Mais de 10 anos,Amarela
206,,,,,,,,
207,31.0,Masculino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Branca
208,32.0,Masculino,Santa Catarina (SC),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca
209,29.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Júnior,5000.0,de 3 a 4 anos,Branca
210,30.0,Feminino,Paraná (PR),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Branca
211,28.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Parda
212,48.0,Feminino,São Paulo (SP),,,18000.0,Até 2 anos,Branca
213,44.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 3 a 4 anos,Branca
214,28.0,Masculino,Espírito Santo (ES),,,,,Parda
215,30.0,Feminino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca
216,49.0,Masculino,Sergipe (SE),,,,,Parda
217,28.0,Masculino,São Paulo (SP),Outra opção,Júnior,3500.0,Até 2 anos,Branca
218,22.0,Masculino,Piauí (PI),Analista de Dados,Júnior,1500.0,Até 2 anos,Parda
219,33.0,Feminino,Rio Grande do Sul (RS),Analista de BI,Sênior,10000.0,de 4 a 6 anos,Branca
220,28.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Amarela
221,28.0,Masculino,Bahia (BA),,,,,Branca
222,31.0,Masculino,Rio de Janeiro (RJ),Outra opção,Júnior,3500.0,Até 2 anos,Parda
223,33.0,Masculino,Distrito Federal (DF),Cientista de dados,Sênior,14000.0,de 7 a 10 anos,Branca
224,27.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Júnior,2500.0,Até 2 anos,Branca
225,36.0,Feminino,São Paulo (SP),,,35000.0,Mais de 10 anos,Parda
226,24.0,Feminino,Paraná (PR),Engenheiro de dados,Pleno,10000.0,de 4 a 6 anos,Preta
227,26.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,10000.0,Até 2 anos,Parda
228,48.0,Masculino,São Paulo (SP),,,10000.0,Mais de 10 anos,Parda
229,20.0,Masculino,Rio Grande do Sul (RS),Analista de BI,Júnior,3500.0,Até 2 anos,Branca
230,55.0,Masculino,Rio de Janeiro (RJ),,,22500.0,Mais de 10 anos,Amarela
231,31.0,Masculino,Distrito Federal (DF),Engenheiro de dados,Pleno,7000.0,de 4 a 6 anos,Preta
232,29.0,Masculino,São Paulo (SP),,,,,Branca
233,32.0,Masculino,São Paulo (SP),,,,,Branca
234,40.0,Masculino,Minas Gerais (MG),Analista de BI,Sênior,7000.0,de 4 a 6 anos,Preta
235,30.0,Masculino,Paraná (PR),Outra opção,Júnior,3500.0,de 3 a 4 anos,Branca
236,32.0,Masculino,Paraíba (PB),Analista de Dados,Júnior,7000.0,Até 2 anos,Parda
237,28.0,Masculino,Santa Catarina (SC),,,10000.0,de 3 a 4 anos,Branca
238,25.0,Masculino,São Paulo (SP),Analista de BI,Júnior,2500.0,Até 2 anos,Branca
239,28.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Branca
240,30.0,Feminino,Rio de Janeiro (RJ),Analista de BI,Sênior,18000.0,de 3 a 4 anos,Branca
241,29.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Preta
242,37.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,7000.0,de 4 a 6 anos,Parda
243,19.0,Masculino,São Paulo (SP),Engenheiro de dados,Júnior,1500.0,Até 2 anos,Branca
244,32.0,Masculino,Paraíba (PB),Engenheiro de dados,Sênior,10000.0,de 3 a 4 anos,Branca
245,25.0,Masculino,Paraná (PR),Outra opção,Júnior,5000.0,Até 2 anos,Branca
246,33.0,Feminino,,Analista de BI,Sênior,10000.0,Mais de 10 anos,Amarela
247,35.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 3 a 4 anos,Branca
248,38.0,Masculino,Espírito Santo (ES),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Parda
249,32.0,Masculino,Rio de Janeiro (RJ),,,22500.0,de 4 a 6 anos,Outra
250,28.0,Masculino,São Paulo (SP),,,,,Branca
251,30.0,Masculino,Rio Grande do Sul (RS),,,10000.0,de 3 a 4 anos,Branca
252,,,,,,,,
253,31.0,Feminino,São Paulo (SP),Cientista de dados,Sênior,14000.0,Mais de 10 anos,Branca
254,31.0,Masculino,São Paulo (SP),,,14000.0,de 7 a 10 anos,Branca
255,28.0,Masculino,Rio Grande do Norte (RN),Analista de BI,Pleno,2500.0,de 3 a 4 anos,Parda
256,32.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,Até 2 anos,Branca
257,31.0,Feminino,São Paulo (SP),,,14000.0,Até 2 anos,Parda
258,27.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,7000.0,de 3 a 4 anos,Branca
259,31.0,Feminino,Paraná (PR),Outra opção,Pleno,5000.0,Até 2 anos,Parda
260,33.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Parda
261,29.0,Masculino,Minas Gerais (MG),,,18000.0,de 4 a 6 anos,Branca
262,32.0,Masculino,São Paulo (SP),,,22500.0,Mais de 10 anos,Parda
263,47.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca
264,29.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,5000.0,Até 2 anos,Branca
265,27.0,Masculino,Minas Gerais (MG),,,35000.0,de 3 a 4 anos,Branca
266,41.0,Masculino,Minas Gerais (MG),Analista de BI,Sênior,22500.0,de 7 a 10 anos,Preta
267,33.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 4 a 6 anos,Parda
268,,,,,,,,
269,27.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,5000.0,Até 2 anos,Branca
270,26.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Branca
271,,,,,,,,
272,25.0,Masculino,Rio Grande do Sul (RS),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca
273,34.0,Masculino,São Paulo (SP),Analista de BI,Sênior,7000.0,Até 2 anos,Branca
274,29.0,Feminino,Sergipe (SE),Analista de Dados,Júnior,2500.0,Até 2 anos,Parda
275,26.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca
276,40.0,Masculino,São Paulo (SP),,,,,Branca
277,32.0,Masculino,Rio Grande do Sul (RS),Engenheiro de dados,Júnior,5000.0,Até 2 anos,Branca
278,26.0,Feminino,São Paulo (SP),Engenheiro de dados,Sênior,18000.0,de 7 a 10 anos,Branca
279,34.0,Masculino,Bahia (BA),Cientista de dados,Sênior,40000.0,de 7 a 10 anos,Branca
280,40.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Pleno,3500.0,de 4 a 6 anos,Parda
281,38.0,Masculino,Ceará (CE),Cientista de dados,Pleno,7000.0,Até 2 anos,Branca
282,29.0,Masculino,São Paulo (SP),,,14000.0,Mais de 10 anos,Branca
283,25.0,Feminino,Goiás (GO),Outra opção,Pleno,7000.0,de 4 a 6 anos,Branca
284,26.0,Masculino,São Paulo (SP),Outra opção,Pleno,1500.0,de 3 a 4 anos,Parda
285,23.0,Feminino,Pará (PA),Engenheiro de dados,Pleno,5000.0,de 3 a 4 anos,Parda
286,43.0,Masculino,Santa Catarina (SC),Engenheiro de dados,Sênior,10000.0,de 7 a 10 anos,Branca
287,37.0,Masculino,São Paulo (SP),,,22500.0,Mais de 10 anos,Branca
288,31.0,Masculino,Minas Gerais (MG),,,18000.0,de 4 a 6 anos,Branca
289,39.0,Masculino,Bahia (BA),Outra opção,Júnior,5000.0,Mais de 10 anos,Parda
290,37.0,Masculino,São Paulo (SP),,,14000.0,de 4 a 6 anos,Branca
